business_name,website,area,category,google_rating
MB ALL Seafood Phuket เอ็มบี ออลล์ ซีฟู้ด สาขาภูเก็ต,http://www.mballseafood.com/,Koh Kaew,Seafood Restaurant,4.8
Sugar Goat,https://www.instagram.com/cafe.sugargoat,Bang Tao,Breakfast Restaurant,4.8
Diamond Phuket Airport Scooter Motorbike Rental,https://phuketairportscooterrental.com/,Airport,Services,4.8
Blue Harbour Coffee at Tri-​Trang Beach,https://elephanttrailphuket.rezio.shop/th?utm_source=admin&utm_medium=click_mysitebutton&utm_campaign=gotomysite,Patong,Restaurant,4.8
Ton Mai Se Thong Massage & Beauty 3,http://www.tonmaisethong.com/,Patong,Massage spa,5
SUNSURI PHUKET,https://www.sunsuri-phuket.com/,Nai Harn,Hotel,4.6
BAAN PRAN 4 MASSAGE & NAIL (Brand 4 Kata),https://wa.me/message/UDAVEN4E2423L1,Kata,Massage spa,4.9
BLUE BEACH Cafe & Restaurant,https://www.facebook.com/Blue-Beach-Cafe-Restaurant-101128889188361,Patong,Thai Restaurant,4.7
BAAN PRAN 5 MASSAGE & NAIL (Brand 5 Kata),https://wa.me/message/UDAVEN4E2423L1,Kata,Massage spa,4.9
Palm Square,https://www.facebook.com/PalmSquareKata/,Kata,Restaurant,4.5
Grove Phuket,http://www.grovephuket.com/,Panwa,Cafe,4.7
Love Diving Phuket,http://www.phuketdiving.org/,Patong,Sporting Goods Store,4.9
Dark House Adventure,https://worldofshadowgame.com/,Chalong,Amusement Center,5
Motorbike Rental Station Phuket Free Delivery,https://motorbike-rental-station-phuket.com/,Patong,Services,4.9
Sugar and Spice Restaurant and Inn,https://www.phuket101.net/sugar-and-spice-restaurant-phuket/,Kata,Thai Restaurant,4.4
Baboon Phuket,https://www.baboonphuket.com/,Chalong,Restaurant,4.8
517 Fisherman Seafood Restaurant Patong,https://www.facebook.com/517fishermanseafood,Patong,Seafood Restaurant,4.6
Healthland,http://www.healthlandmassage.com/,Patong,Massage,4.6
Chai Motorbike Rental&Sea Expert Travel Service,https://www.facebook.com/SeaExpertTravelTrip/,Phuket Town,Services,4.8
On The Rock Restaurant,http://www.marinaphuket.com/restaurants.html,Kata,Restaurant,4.2
Eightfold,https://th.tripadvisor.com/Restaurant_Review-g1210687-d1392030-Reviews-Eightfold_Restaurant-Kata_Beach_Karon_Phuket.html?m=19905,Kata,Restaurant,4.7
Spice House Kata,https://spicehousephuket.com/,Kata,Russian Restaurant,4.7
BEST TAILOR PHUKET PATONG SUIT SHOP,https://www.facebook.com/Besttailorphuketpatong,Patong,Tailor,5
Tree O’clock Gallery & Restaurant,https://www.treeoclockphuket.com/,Cherngtalay,Restaurant,4.8
ร้านพิเศษ สาขาภูเก็ต Piset Restaurant Phuket,https://www.facebook.com/pisetrestaurantphuket,Old Town,Seafood Restaurant,4.6
Maimorn Forest,https://www.maimornforest.com/,Phuket Town,Thai Restaurant,4.5
"Oasis Spa (Tropical Retreat Spa, Laguna)",https://oasisspa.net/en/destination/phuket/Tropical_Retreat_Spa/?utm_source=mamgbp&utm_medium=gbp&utm_campaign=trl,Bang Tao,Spa,4.8
Courtyard by Marriott Phuket Town,https://www.marriott.com/en-us/hotels/hktct-courtyard-phuket-town/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Phuket Town,Hotel,4.5
FUGA Beach Club,http://www.fugabeachclub.com/,Patong,Restaurant,4.1
Siladon Spa,http://siladonspas.com,Patong,Massage & spa,4.9
Sabaijai cafe,http://sabaijai.restaurantwebexperts.com/,Karon,Restaurant,4.7
EAT Bar & Grill Restaurant Karon,http://eatbargrill.net/,Kata,Steak House,4.7
Чехов,http://phuket-tropic-tours.ru/,Karon,Restaurant,4.9
Sense Spa Phuket,https://sensespaphuket.com/,Old Town,Spa,4.8
Ibis Styles Phuket City,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9929&merchantid=seo-maps-TH-9929&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,Phuket Town,Hotel,4.3
Ton Mai Se Thong Massage & Beauty Soi Sansabai,http://www.tonmaisethong.com/,Patong,Massage spa,4.9
Red Hot,https://www.phuketbars.info/red_hot_club_94.php,Patong,Bar,4.4
New David Jone,https://newdjtailor.com/,Patong,Tailor,5
Sea Bees Diving - Phuket,https://sea-bees.com/diving-phuket/,Chalong,Sports Activity Location,4.9
Cheap as Chips Motorbike Rental,https://motorbikerentalphuket.com/,Patong,Services,4.8
Pinewood Massage Spa and Onsen (Kata Beach),http://wa.me/66821071957,Kata,Massage spa,5
Bang Pae Seafood Restaurant,https://www.facebook.com/bangpaeseafood/,Paklok,Seafood Restaurant,4.5
Palm Spa & Massage,https://www.facebook.com/PALMSPAMASSAGE/,Kata,Beauty & spa,4.9
"Oasis Spa (Sky Breeze Spa, Kata)",https://oasisspa.net/en/destination/phuket/Sky_Breeze_Spa/?utm_source=mamgbp&utm_medium=gbp&utm_campaign=sbk,Kata,Spa,4.9
Cafe Delight Phuket Old Town,https://cafedelightphuket.com/,Phuket Town,Breakfast Restaurant,4.8
XANA,https://www.angsana.com/thailand/laguna-phuket/dining/xana,Bang Tao,Restaurant,4.3
Sinae Phuket,http://www.sinaephuket.com/,Phuket Town,Hotel,4.5
KANTA PHUKET,https://onebooking.co/welcome/KT/packages,Old Town,Restaurant,4.9
Thanoon Seafood,https://www.facebook.com/share/15zi6ktB5n/,Mai Khao,Seafood Restaurant,4.3
Pearl Hotel Phuket,https://www.pearlhotelphuket.com/?utm_source=instagram&utm_medium=organic_social,Phuket Town,Hotel,4.1
Rawai Park,http://rawaipark.com/,Rawai,Playground,4.4
CASHMERE SUIT TAILOR PHUKET,http://www.cashmere-suit.com/,Patong,Tailor,5
F&T MOTORBIKE PHUKET,https://ftmotorbike.com/,Patong,Services,4.9
Hotel Tide Phuket,http://hoteltidephuket.com/,Phuket Town,Hotel,4.1
Medusa Patong,https://medusapatong.shop/,Patong,Restaurant,4.6
Dara Hotel,http://www.daraphuket.com/,Old Town,Hotel,4.1
Body Works Thai Massage Patong 2,https://bodyworksphuket.com/,Patong,Massage,4.9
THAN Spa & Massage Phuket,https://www.facebook.com/than.spa.massage/,Old Town,Massage spa,4.9
Dinner in the Sky Phuket | Restaurant,https://dinnerintheskyphuket.com/?utm_source=google&utm_medium=maps&utm_campaign=site,Karon,Restaurant,4.9
HOMA Phuket Town,https://www.homa.co/,Old Town,Lodging,4.7
PANAME Brasserie Phuket,https://www.facebook.com/profile.php?id=100090447728654,Patong,European Restaurant,4.7
Fira Beach Club,https://firaphuket.com/,Kata,Business,4.7
BON Phuket Old Town,https://en.laromegroup.com/bonrestaurants,Phuket Town,Restaurant,4.7
Hotel IKON Phuket,http://www.hotel-ikon.com/,Karon,Hotel,4.4
The Beach Cuisine,https://linktr.ee/thebeachcuisine?utm_source=linktree_profile_share,Surin,Restaurant,4.6
Merlin Divers,https://phuket-diving-thailand.net/,Kamala,Diving,4.9
Kim's Massage & Spa 12 Old Town Thalang Road,https://www.kimsmassagespa.com/,Old Town,Spa,4.7
Tambu Phuket,https://www.tambuphuket.com/,Patong,Indian Restaurant,4.8
Kim’s Massage & Spa Patong Beach.,http://www.kimsmassagespa.com/,Patong,Spa,4.5
"Eleganza Fashion Tailor Bangtao Beach, Phuket",https://www.eleganzafashion.net/,Bang Tao,Tailor,5
Sunlique Rooftop Restaurant,https://sunlique.com/,Kata,Restaurant,4.7
The Baray Spa,https://www.phuketsawasdee.com/the-baray-spa/,Kata,Spa,4.9
Barfunk Phuket,http://www.barfunkphuket.com/,Patong,Bar,4.4
"Karlsson Restaurant and Steakhouse - Karon, Phuket",http://www.karlssonrestaurant.com/,Karon,Restaurant,4.5
Day & Night Of CherngTalay,http://www.dayandnight.co.th/,Bang Tao,Restaurant,4.8
Magnifique Tailor,http://www.magnifiquetailor.com/,Patong,Tailor,4.9
RestDay Coffee Bar & Bake House,https://www.instagram.com/restdayphuket,Phuket Town,Coffee Shop,4.9
LION HOUSE Phuket,https://www.facebook.com/lionhousephuket,Phuket Town,Business,4.8
Sri Panwa Phuket Luxury Pool Villa Hotel,https://www.sripanwa.com/,Cape Panwa,Hotel,4.7
Rosmarino Restaurant,http://www.rosmarinorestaurant.com/,Karon,Italian Restaurant,4.6
GRAPH Phuket,http://graphcoffeeco.com/,Phuket Town,Coffee Shop,4.7
Armania Phuket,https://www.barfunkphuket.com/,Patong,Night Club,4.4
BLACK OUT PATONG,https://flyophuket.com/,Patong,Bar,5
Scubadeep Phuket,https://www.scubadeep.co.th/,Patong,Sports Activity Location,5
Onbeach Massage & Spa Patong,http://www.onbeachspa.com/,Patong,Massage spa,4.9
Big Boys' Burger Club - Jungceylon Patong,https://www.bigboysburgerclub.co.th/,Patong,Hamburger Restaurant,4.9
Lucky Rent,https://luckyrent-phuket.com/,Chalong,Services,4.8
La Playa - Patong Beach,http://stayatcasasolana.com/,Patong,Restaurant,4.7
Star Tailor House Bespoke Tailor Phuket,http://www.startailorphuket.com/,Patong,Tailor,5
"Soul Senses Spa & Wellness - Phuket Old Town, Thailand",https://soulsensesspa.ae/landing-page/,Old Town,Spa,4.9
Orientala Spa,https://www.orientalaspa.com/phuket-patong.html,Patong,Spa,4.4
"RENTAL MOTOR PATONG 2: TMAX, XADV, SCOOTER & MOTORBIKE FOR RENT IN PHUKET",https://www.rentalmotorpatong.com/,Patong,Services,4.9
Sugar Club Phuket,https://www.sugarclub-phuket.com/,Patong,Nightlife,3.7
Phuket Inn Travel,http://www.phuketinntravel.com/,Patong,Tour Agency,5
Andrei Motorbike Rent — Kata Karon,https://phuket.rentmotorbike.org/,Karon,Services,4.9
Mamma Mia Grill & Restaurant Bangtao,https://mammamiabangtao.com/,Bang Tao,Restaurant,4.4
Taste Bistro & Grill,https://www.taste-patong.com/,Patong,Restaurant,4.8
EcoLoft Hotel,https://www.ecolofthotel.com/,Phuket Town,Hotel,4.5
Hatha Massage Patong,https://www.facebook.com/profile.php?id&open_field=website&sk=about_contact_and_basic_info,Patong,Massage,4.7
Portosino Restaurant,https://www.avistagrandephuketresort.com/restaurants-bars/portosino/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,Kata,Thai Restaurant,4.7
Sam Boutique Tailors Phuket,https://www.besttailorkaron.com/,Karon,Tailor,5
Go Rentals Phuket Bike Car Property Rentals (Station 1),http://www.gorentalsphuket.com/,Bang Tao,Services,4.9
Rth Ram Tailor House,https://www.tripadvisor.com/Attraction_Review-g1379324-d15354516-Reviews-RTH_Ram_Tailor_House-Kamala_Kathu_Phuket.html,Kamala,Tailor,5
Phuket Big Bike,https://phuketrentbike.com/,Kata,Services,4.9
Blue Bistro and Bar,https://restaurantpatong.com/,Patong,Restaurant,4.8
Baba Beach Club Phuket Natai Luxury Pool Villa Hotel by Sri panwa,https://www.bababeachclub.com/natai,Mai Khao,Resort hotel,4.7
ACDC Diving Phuket,https://www.acdcdivingphuket.com/,Chalong,Sports Activity Location,5
Local Canteen Phuket,http://www.localcanteen.com/,Old Town,Restaurant,4.9
Pine Beach Bar,https://phuket.intercontinental.com/dining/pine,Kamala,Bar,4.7
White Rabbit Beach Club,https://www.instagram.com/whiterabbitbeachclub/,Chalong,Business,4.3
Crave Restaurant and Bar,https://www.facebook.com/profile.php?id=100088222629860&mibextid=LQQJ4d,Surin,Restaurant,4.7
Craftist Phuket,https://craftistphuket.wixsite.com/site,Old Town,Coffee Shop,4.7
Two Chefs Karon Beach,https://www.twochefs.com/,Karon,Restaurant,4.6
The Royal P Boutique Hotel,http://the-royal-p.hotelsofphuket.com/en/,Old Town,Hotel,4.2
TOH DAENG at Phuket old town,https://www.tohdaengphuket.com/,Old Town,Restaurant,4.9
NORA Beach Club,https://www.norabeachclub.com/,Bang Tao,Restaurant,4.5
Sweet Lemongrass Massage 5,https://www.facebook.com/sweetlemongrassphuket/,Kata,Massage spa,4.8
Bedline Hotel,http://www.bedlinehotel.com/,Phuket Town,Hotel,4.7
Zenithy Gentlemen’s Club Phuket,https://zenithyphuket.com/,Patong,Night Club,4.6
"Eden by the Lake : Restaurant & Lounge in Boat Avenue, Phuket",https://www.edengrillphuket.com/,Bang Tao,Restaurant,4.7
"SSS Phuket Dive, Freedive & Surf",https://www.sssphuket.com/,Kata,Sports Club,4.9
Lamit&bounty restaurant,https://www.facebook.com/profile.php?id=61551882341601&mibextid=LQQJ4d,Kata,Restaurant,4.8
Let's Relax Spa - Phuket Boat Lagoon,https://letsrelaxspa.com/,Koh Kaew,Massage spa,4.6
Beehive Phuket Old Town,https://beehivephuketoldtown.top/,Phuket Town,Hotel,4.1
The Palm Cuisine,https://movenpick.accor.com/en/asia/thailand/phuket/resort-phuket-bangtao/restaurants/the-palm-cuisine.html?utm_source=google+Maps&utm_medium=seo+maps&utm_content=restaurant-B4J4-the_palm_cuisine&utm_campaign=seo+maps,Bang Tao,Thai Restaurant,4.9
Casa Boho Phuket,http://www.casabohophuket.com/,Kamala,Latin American Restaurant,4.7
Kanin Cafe Phuket - Specialty Coffee & All Day Breakfast and Brunch,https://www.instagram.com/kanincafe/?hl=en,Bang Tao,Cafe,4.7
Rise and Grind Phuket วันใหม่ในเมืองเก่า “Specialty Coffee & Healthy Food”,https://www.instagram.com/riseandgrindoldtown?igsh=MXZ5cmhrcHVhaWViOA==,Phuket Town,Bistro,4.9
La Marée restaurant,https://lamareephuket.com/,Cherngtalay,Restaurant,4.8
Phuket Romantic Dining,https://phuketromanticdining.com/,Kamala,Fine Dining Restaurant,4.9
Amorn's Tailors,http://www.amorns.com/,Kata,Tailor,5
Bikago Scooter and Motorbike Rentals - Phuket,https://www.bikago.com/phuket/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=10,Cherngtalay,Services,4.9
Phuket Wake Park,https://phuketwakepark.com/,Kathu,Water Park,4.2
Trampoline Club Phuket 50FLY/батуты,https://50fly.club/,Old Town,Business,4.8
LUME Seafood Restaurant & Bar,https://lumephuket.com/?utm_source=google&utm_medium=business_profile&utm_campaign=gmb_traffic,Koh Kaew,Mediterranean Restaurant,4.9
Go Travel Phuket,http://www.gotravelphuket.com/,Kathu,Travel Agency,5
SabaiJai D Massage,https://www.patong-mansion.com/spa-massages/,Patong,Massage spa,4.9
Phuket Scooter Rental,https://phuketscooterrental.com/rentabike/reservation/,Phuket Town,Services,4.8
Экскурсии на Пхукете - Золотой Ключик - Phuket Best Tours and Trips,https://goldenkeytours.com/,Phuket Town,Tour Agency,4.9
TaiPan Nightclub,https://taipannightclub.com/,Patong,Night Club,4.1
Two friends kitchen,https://linktr.ee/twofriendskitchen,Kata,Restaurant,4.9
Religion Phuket,https://religionrent.com/,Kathu,Services,4.9
Bisou Phuket - French Restaurant,https://bisouphuket.com/,Cherngtalay,French Restaurant,5
Issara Restaurant & Bar – Boat Avenue,https://issaraphuket.com/,Bang Tao,Restaurant,4.9
TONOAK SEAFOOD&CAFE,https://www.facebook.com/Ton-Oak-Seafood-Caf%C3%A9-113094253420272/,Koh Kaew,Seafood Restaurant,4.8
DEV’S FASHION,http://www.devsfashionphuket.com/,Patong,Tailor,5
Suit fitter,https://prosuitfitter.com/,Patong,Tailor,5
Sea Fire Salt Phuket,https://www.anantara.com/en/mai-khao-phuket/restaurants/sea-fire-salt?utm_source=GoogleMyBusiness&utm_medium=GMB&utm_term=SeaFireSalthuketVillas&utm_SeaFireSalt&utm_campaign=Google_GMB,Mai Khao,Seafood Restaurant,4.5
Sirada Massage by Yaya,https://www.facebook.com/share/12KtSL5Vzu1/?mibextid=wwXIfr,Kata,Massage spa,4.8
Diving Center in Phuket Дайвинг центр на Пхукете «Crazy Frog Diving»,https://a-diving.ru/,Chalong,Sports Activity Location,5
Exclusive Tailor,https://www.exclusivetailor.com/,Patong,Tailor,5
Froggy's Fun Park (online booking),https://froggysfunpark.com/,Patong,Indoor Playground,4.3
Siwilai Spa Phuket ศิวิไลซ์ สปา ภูเก็ต,https://ramadaplazachaofah.com/siwilai-spa/,Chalong,Spa,4.9
The Boathouse Restaurant,https://boathouse-phuket.com/restaurant/the-boathouse-restaurant,Kata,Restaurant,4.4
VANNOTEN TAILORS,https://vannotentailors.com/,Patong,Tailor,4.9
All4Diving Phuket,https://www.scubadiving-phuket.com/,Patong,Sporting Goods Store,5
Baan Khao Soi (Kata),https://baan-khao-soi.com/,Kata,Restaurant,4.9
Super Divers Phuket,https://superdiversphuket.com/,Patong,Tour Agency,4.9
CHAR'D Grill Phuket,https://www.avistagrandephuketresort.com/best-restaurant-in-phuket-karon/romantic-dining-phuket-chard-grill-steakhouse/,Kata,Steak House,4.7
The 21 Restaurant,https://the21phuket.com/,Bang Tao,Restaurant,4.8
DiveSafe Phuket,https://divesafephuket.com/,Chalong,Tour Agency,4.9
Sharkey Scuba Karon,http://www.sharkeyscuba.com/,Karon,Sports Activity Location,5
Being Tours and Travel,http://www.beephukettours.com/,Patong,Travel Agency,4.6
Ali's BBQ BangTao,http://alisbbq.com/,Cherngtalay,Restaurant,4.7
The Harbor Restaurant,https://www.theshorephuket.com/the-feast/the-harbor/,Kata,Restaurant,4.8
Oneloft Hotel,http://www.onelofthotel.com/,Kata,Hotel,4.6
Tatonka,https://www.tatonkaphuket.com/,Bang Tao,Restaurant,4.7
The Kata Rocks Clubhouse,https://www.katarocks.com/dining/,Kata,Restaurant,4.4
Oto Play Park Central Phuket,https://phuket.otoplay.co/,Old Town,Amusement Center,4.8
The Phuket Trip Tour and Travel,https://www.pkphukettrip.com/,Patong,Travel Agency,4.8
Pearl Spa In Phuket,http://bit.ly/2x5JvwF,Kata,Spa,4.9
Anthony's Bespoke Tailor Phuket,https://www.anthonysbespoketailor.com/,Karon,Tailor,4.9
Instyle Tailors,https://www.instyletailors.com/,Patong,Tailor,5
BOA Nightclub Phuket,https://boaclubphuket.com/,Patong,Night Club,4.5
Tailor Pro Phuket,http://www.tailorprophuket.com/,Kata,Tailor,4.9
La Napoletana,https://lanapoletana.com/,Bang Tao,Italian Restaurant,4.6
Solis Beach Club Phuket,https://solis-phuket.com/,Bang Tao,Business,4.7
"Motown On Fire Steak House, Karon",https://motownsteakhouse.com/,Kata,Restaurant,4.7
Raithai Phuket Tour,https://www.facebook.com/RaithaiPhuketTourinformation?mibextid=LQQJ4d,Patong,Travel Agency,4.8
Siam Dive Center,https://www.siamdive.com/,Phuket Town,Tour Agency,5
Aqua Kingdom Phuket,https://m.facebook.com/AquaKingdom-Waterpark-Kindee-Bistro-104375894909466/?mibextid=LQQJ4d,Cherngtalay,Water Park,4.4
Her & Him(Phuket Old Town)Thai Tailor เฮอร์ แอนด์ ฮิม ภูเก็ตเมืองเก่า,http://wa.me/66894744407,Phuket Town,Tailor,4.9
"PHUKET MINIBUS TRAVEL CO., LTD.",https://phuketminibustravel.com/,Chalong,Travel Agency,5
Travel Phuket With UF,http://travelphuketwithuf.com/,Patong,Travel Agency,4.9
Phuket Wonders Travel,https://tantulika12.wixsite.com/travel/85,Chalong,Travel Agency,4.9
7th Floor Restaurant & Bar,http://www.7floor-restaurant.com/,Bang Tao,Restaurant,4.7
Kidzooona Central Phuket,https://aeonfantasy.co.th/,Old Town,Amusement Center,3.9
Phuket Best Tours,https://bio.site/bestofphuket,Kata,Tour Agency,4.7
Motorbike Rentals Phuket - Pasak 3,https://www.motorbike-rentals-phuket.com/,Bang Tao,Services,4.9
Jivana Spa,https://avistahideawayphuketresort.com/phuket-spa-wellness/jivana-spa-in-phuket/,Patong,Massage spa,4.9
Laoteng Boutique Hotel,https://laotengboutique.com/,Phuket Town,Hotel,4.9
